Canton,Total,Person1,Person2,Person3,Person4,Person5,SixOrMorePerson,ImplausibleHouseholds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweiz2016,"8,248,349 ","1,300,170 ","2,408,700 ","1,465,083 ","1,875,432 ","791,995 ","406,969 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zürich2016,"1,458,087 ","241,174 ","439,506 ","259,167 ","324,444 ","128,130 ","65,666 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bern2016,"1,005,094 ","168,434 ","322,498 ","165,810 ","213,044 ","90,025 ","45,283 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luzern2016,"395,448 ","57,433 ","115,706 ","64,983 ","93,120 ","42,910 ","21,296 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uri2016,"35,377 ","4,583 ","10,556 ","5,412 ","8,604 ","4,355 ","1,867 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schwyz2016,"153,215 ","20,861 ","45,788 ","26,295 ","36,024 ","16,280 ","7,967 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obwalden2016,"36,776 ","5,007 ","10,470 ","6,132 ","9,016 ","3,990 ","2,161 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidwalden2016,"41,856 ","5,991 ","13,464 ","6,984 ","9,620 ","4,060 ","1,737 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glarus2016,"39,385 ","6,122 ","11,772 ","6,879 ","9,292 ","3,595 ","1,725 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zug2016,"121,819 ","16,899 ","36,444 ","21,651 ","30,036 ","12,155 ","4,634 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freiburg2016,"305,665 ","37,985 ","79,784 ","57,195 ","79,880 ","34,925 ","15,896 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solothurn2016,"265,134 ","39,972 ","83,656 ","46,536 ","57,716 ","24,815 ","12,439 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basel-Stadt2016,"187,917 ","45,242 ","56,470 ","32,253 ","33,392 ","13,750 ","6,810 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basel-Landschaft2016,"281,404 ","41,107 ","91,256 ","50,511 ","64,048 ","24,395 ","10,087 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaffhausen2016,"79,295 ","13,341 ","25,002 ","13,296 ","16,828 ","7,230 ","3,598 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appenzell A.Rh.2016,"54,000 ","7,790 ","15,932 ","9,027 ","11,616 ","6,115 ","3,520 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appenzell I.Rh.2016,"15,687 ","1,903 ","4,070 ","2,319 ","3,412 ","2,695 ","1,288 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St.Gallen2016,"494,482 ","73,562 ","143,352 ","81,552 ","112,308 ","54,330 ","29,378 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graubünden2016,"194,251 ","34,171 ","58,546 ","33,879 ","43,208 ","17,680 ","6,767 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aargau2016,"654,178 ","89,260 ","201,162 ","114,591 ","155,532 ","63,060 ","30,573 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thurgau2016,"267,202 ","37,366 ","80,454 ","45,948 ","61,756 ","27,350 ","14,328 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tessin2016,"348,637 ","62,608 ","97,488 ","71,781 ","78,576 ","28,175 ","10,009 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waadt2016,"767,954 ","122,484 ","203,852 ","147,450 ","184,024 ","73,515 ","36,629 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
