Canton,Total,Person1,Person2,Person3,Person4,Person5,SixOrMorePerson,ImplausibleHouseholds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweiz2017,"8,317,056 ","1,320,230 ","2,434,588 ","1,477,575 ","1,892,056 ","792,445 ","400,162 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zürich2017,"1,475,183 ","243,913 ","442,972 ","262,494 ","329,804 ","129,895 ","66,105 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bern2017,"1,010,845 ","170,655 ","325,188 ","165,615 ","214,732 ","89,975 ","44,680 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luzern2017,"398,747 ","58,397 ","117,688 ","65,427 ","93,528 ","42,900 ","20,807 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uri2017,"35,538 ","4,666 ","10,642 ","5,505 ","8,556 ","4,355 ","1,814 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schwyz2017,"154,574 ","21,389 ","46,396 ","26,817 ","35,904 ","16,405 ","7,663 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obwalden2017,"37,013 ","5,133 ","10,766 ","6,057 ","9,016 ","3,925 ","2,116 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidwalden2017,"42,298 ","6,098 ","13,668 ","7,197 ","9,608 ","4,095 ","1,632 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glarus2017,"39,598 ","6,225 ","12,006 ","6,912 ","9,228 ","3,600 ","1,627 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zug2017,"123,314 ","17,179 ","36,646 ","22,086 ","30,700 ","12,330 ","4,373 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freiburg2017,"309,154 ","38,916 ","81,314 ","58,203 ","80,476 ","34,740 ","15,505 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solothurn2017,"267,053 ","40,807 ","84,600 ","46,377 ","58,196 ","24,615 ","12,458 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basel-Stadt2017,"188,718 ","44,949 ","56,270 ","32,439 ","33,916 ","13,940 ","7,204 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basel-Landschaft2017,"282,839 ","41,830 ","91,204 ","50,688 ","65,072 ","24,130 ","9,915 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaffhausen2017,"79,874 ","13,580 ","24,946 ","13,479 ","16,836 ","7,335 ","3,698 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appenzell A.Rh.2017,"54,265 ","7,869 ","16,194 ","8,877 ","11,704 ","6,210 ","3,411 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appenzell I.Rh.2017,"15,813 ","1,946 ","4,142 ","2,391 ","3,464 ","2,580 ","1,290 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St.Gallen2017,"496,942 ","75,072 ","144,780 ","81,483 ","112,296 ","54,360 ","28,951 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
