Region,PopulationJanuary,LiveBirths,Deaths,BirthRate,Immigration,Emigration,MigrationBalance,PopulationDecember,Absolut,Percent
Schweiz 3,8 544 527, 86 172, 67 780, 18 392, 320 024, 276 672, 43 352,8 606 033, 61 506,0.7
Genferseeregion,1 642 580, 17 095, 11 721, 5 374, 69 593, 61 994, 7 599,1 654 751, 12 171,0.7
Waadt , 799 145, 8 607, 5 454, 3 153, 33 990, 31 505, 2 485, 805 098, 5 953,0.7
Wallis, 343 955, 3 138, 2 898,240, 11 641, 9 872, 1 769, 345 525, 1 570,0.5
Genf, 499 480, 5 350, 3 369, 1 981, 23 962, 20 617, 3 345, 504 128, 4 648,0.9
Espace Mittelland,1 877 154, 18 402, 16 328, 2 074, 56 518, 49 314, 7 204,1 886 584, 9 430,0.5
Bern,1 034 977, 9 933, 9 667,266, 26 395, 22 328, 4 067,1 039 474, 4 497,0.4
Freiburg, 318 714, 3 498, 2 099, 1 399, 11 474, 9 782, 1 692, 321 783, 3 069,1
Solothurn, 273 194, 2 592, 2 311,281, 11 193, 9 531, 1 662, 275 247, 2 053,0.8
Neuenburg, 176 850, 1 670, 1 585,85, 5 724, 6 055,-331, 176 496,-354,-0.2
Jura, 73 419,709,666,43, 1 732, 1 618,114, 73 584,165,0.2
Nordwestschweiz,1 161 105, 11 647, 9 541, 2 106, 48 161, 39 551, 8 610,1 171 157, 10 052,0.9
Basel-Stadt, 194 766, 2 060, 2 063,-3, 12 647, 10 837, 1 810, 195 844, 1 078,0.6
Basel-Landschaft, 288 132, 2 543, 2 481,62, 10 430, 9 132, 1 298, 289 468, 1 336,0.5
Aargau, 678 207, 7 044, 4 997, 2 047, 25 084, 19 582, 5 502, 685 845, 7 638,1.1
Zürich,1 520 968, 16 587, 11 305, 5 282, 61 113, 46 538, 14 575,1 539 275, 18 307,1.2
Ostschweiz,1 176 321, 11 652, 9 723, 1 929, 45 440, 40 171, 5 269,1 183 813, 7 492,0.6
Glarus, 40 403,413,416,-3, 1 588, 1 413,175, 40 590,187,0.5
Schaffhausen, 81 991,724,809,-85, 3 226, 2 761,465, 82 348,357,0.4
Appenzell A.Rh., 55 234,558,484,74, 2 707, 2 595,112, 55 445,211,0.4
Appenzell I.Rh., 16 145,174,134,40,537,611,-74, 16 128,-17,-0.1
St. Gallen, 507 697, 5 269, 4 047, 1 222, 18 302, 16 893, 1 409, 510 734, 3 037,0.6
Graubunden, 198 379, 1 630, 1 748,-118, 7 666, 6 781,885, 199 021,642,0.3
Thurgau, 276 472, 2 884, 2 085,799, 11 414, 9 117, 2 297, 279 547, 3 075,1.1
Zentralschweiz, 813 056, 8 295, 5 924, 2 371, 31 719, 28 498, 3 221, 818 962, 5 906,0.7
Luzern, 409 557, 4 357, 3 104, 1 253, 14 425, 12 334, 2 091, 413 120, 3 563,0.9
Uri, 36 433,342,307,35, 1 170,974,196, 36 703,270,0.7
Schwyz, 159 165, 1 536, 1 107,429, 6 898, 6 039,859, 160 480, 1 315,0.8
Obwalden, 37 841,347,279,68, 1 285, 1 264,21, 37 930,89,0.2
Nidwalden, 43 223,384,336,48, 1 563, 1 762,-199, 43 087,-136,-0.3
Zug, 126 837, 1 329,791,538, 6 378, 6 125,253, 127 642,805,0.6
Tessin, 353 343, 2 494, 3 238,-744, 7 452, 8 185,-733, 351 491,- 1 852,-0.5
